type_driver,property,probability
1,P=? [F crashed],1.0
1,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
1,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],inf
1,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],inf
1,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],inf
1,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],inf
1,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],inf
1,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],inf
1,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],inf
1,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],inf
1,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],inf
1,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],inf
1,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],inf
1,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],inf
1,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],inf
2,P=? [F crashed],1.0
2,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
2,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],inf
2,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],inf
2,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],inf
2,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],inf
2,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],inf
2,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],inf
2,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],inf
2,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],inf
2,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],inf
2,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],inf
2,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],inf
2,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],inf
2,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],inf
3,P=? [F crashed],1.0
3,P=? [F ((crashed | (x = 500)) | (t = 30))],1.0
3,P=? [F ((x = 500) & (t < 16)) || F (x = 500)],inf
3,P=? [F ((x = 500) & (t < 17)) || F (x = 500)],inf
3,P=? [F ((x = 500) & (t < 18)) || F (x = 500)],inf
3,P=? [F ((x = 500) & (t < 19)) || F (x = 500)],inf
3,P=? [F ((x = 500) & (t < 20)) || F (x = 500)],inf
3,P=? [F ((x = 500) & (t < 21)) || F (x = 500)],inf
3,P=? [F ((x = 500) & (t < 22)) || F (x = 500)],inf
3,P=? [F ((x = 500) & (t < 23)) || F (x = 500)],inf
3,P=? [F ((x = 500) & (t < 24)) || F (x = 500)],inf
3,P=? [F ((x = 500) & (t < 25)) || F (x = 500)],inf
3,P=? [F ((x = 500) & (t < 26)) || F (x = 500)],inf
3,P=? [F ((x = 500) & (t < 27)) || F (x = 500)],inf
3,P=? [F ((x = 500) & (t < 28)) || F (x = 500)],inf
