type,lane,d,v,delta_crash,P_lC,P_nlC
1,1,16,26,0.62,0.4,0.6
1,1,16,27,0.59,0.4,0.6
1,1,16,28,0.57,0.4,0.6
1,1,16,29,0.55,0.4,0.6
1,1,16,30,0.53,0.4,0.6
1,1,16,31,0.52,0.4,0.6
1,1,16,32,0.5,0.4,0.6
1,1,16,33,0.48,0.4,0.6
1,1,16,34,0.47,0.4,0.6
1,1,17,15,1.13,0.33,0.67
1,1,17,16,1.06,0.34,0.66
1,1,17,17,1,0.35,0.65
1,1,17,18,0.94,0.36,0.64
1,1,17,19,0.89,0.37,0.63
1,1,17,20,0.85,0.38,0.62
1,1,17,21,0.81,0.38,0.62
1,1,17,22,0.77,0.38,0.62
1,1,17,23,0.74,0.39,0.61
1,1,17,24,0.71,0.39,0.61
1,1,17,25,0.68,0.39,0.61
1,1,17,26,0.65,0.39,0.61
1,1,17,27,0.63,0.4,0.6
1,1,17,28,0.61,0.4,0.6
1,1,17,29,0.59,0.4,0.6
1,1,17,30,0.57,0.4,0.6
1,1,17,31,0.55,0.4,0.6
1,1,17,32,0.53,0.4,0.6
1,1,17,33,0.52,0.4,0.6
1,1,17,34,0.5,0.4,0.6
1,1,18,15,1.2,0.31,0.69
1,1,18,16,1.13,0.33,0.67
1,1,18,17,1.06,0.34,0.66
1,1,18,18,1,0.35,0.65
1,1,18,19,0.95,0.36,0.64
1,1,18,20,0.9,0.37,0.63
1,1,18,21,0.86,0.37,0.63
1,1,18,22,0.82,0.38,0.62
1,1,18,23,0.78,0.38,0.62
1,1,18,24,0.75,0.39,0.61
1,1,18,25,0.72,0.39,0.61
1,1,18,26,0.69,0.39,0.61
1,1,18,27,0.67,0.39,0.61
1,1,18,28,0.64,0.39,0.61
1,1,18,29,0.62,0.4,0.6
1,1,18,30,0.6,0.4,0.6
1,1,18,31,0.58,0.4,0.6
1,1,18,32,0.56,0.4,0.6
1,1,18,33,0.55,0.4,0.6
1,1,18,34,0.53,0.4,0.6
1,1,19,15,1.27,0.3,0.7
1,1,19,16,1.19,0.31,0.69
1,1,19,17,1.12,0.33,0.67
1,1,19,18,1.06,0.34,0.66
1,1,19,19,1,0.35,0.65
1,1,19,20,0.95,0.36,0.64
1,1,19,21,0.9,0.37,0.63
1,1,19,22,0.86,0.37,0.63
1,1,19,23,0.83,0.38,0.62
1,1,19,24,0.79,0.38,0.62
1,1,19,25,0.76,0.39,0.61
1,1,19,26,0.73,0.39,0.61
1,1,19,27,0.7,0.39,0.61
1,1,19,28,0.68,0.39,0.61
1,1,19,29,0.66,0.39,0.61
1,1,19,30,0.63,0.4,0.6
1,1,19,31,0.61,0.4,0.6
1,1,19,32,0.59,0.4,0.6
1,1,19,33,0.58,0.4,0.6
1,1,19,34,0.56,0.4,0.6
1,1,20,15,1.33,0.28,0.72
1,1,20,16,1.25,0.3,0.7
1,1,20,17,1.18,0.32,0.68
1,1,20,18,1.11,0.33,0.67
1,1,20,19,1.05,0.34,0.66
1,1,20,20,1,0.35,0.65
1,1,20,21,0.95,0.36,0.64
1,1,20,22,0.91,0.37,0.63
1,1,20,23,0.87,0.37,0.63
1,1,20,24,0.83,0.38,0.62
1,1,20,25,0.8,0.38,0.62
1,1,20,26,0.77,0.38,0.62
1,1,20,27,0.74,0.39,0.61
1,1,20,28,0.71,0.39,0.61
1,1,20,29,0.69,0.39,0.61
1,1,20,30,0.67,0.39,0.61
1,1,20,31,0.65,0.39,0.61
1,1,20,32,0.63,0.4,0.6
1,1,20,33,0.61,0.4,0.6
1,1,20,34,0.59,0.4,0.6
1,1,21,15,1.4,0.27,0.73
1,1,21,16,1.31,0.29,0.71
1,1,21,17,1.24,0.3,0.7
1,1,21,18,1.17,0.32,0.68
1,1,21,19,1.11,0.33,0.67
1,1,21,20,1.05,0.34,0.66
1,1,21,21,1,0.35,0.65
1,1,21,22,0.95,0.36,0.64
1,1,21,23,0.91,0.37,0.63
1,1,21,24,0.88,0.37,0.63
1,1,21,25,0.84,0.38,0.62
1,1,21,26,0.81,0.38,0.62
1,1,21,27,0.78,0.38,0.62
1,1,21,28,0.75,0.39,0.61
1,1,21,29,0.72,0.39,0.61
1,1,21,30,0.7,0.39,0.61
1,1,21,31,0.68,0.39,0.61
1,1,21,32,0.66,0.39,0.61
1,1,21,33,0.64,0.4,0.6
1,1,21,34,0.62,0.4,0.6
1,1,22,15,1.47,0.25,0.75
1,1,22,16,1.38,0.27,0.73
1,1,22,17,1.29,0.29,0.71
1,1,22,18,1.22,0.31,0.69
1,1,22,19,1.16,0.32,0.68
1,1,22,20,1.1,0.33,0.67
1,1,22,21,1.05,0.34,0.66
1,1,22,22,1,0.35,0.65
1,1,22,23,0.96,0.36,0.64
1,1,22,24,0.92,0.37,0.63
1,1,22,25,0.88,0.37,0.63
1,1,22,26,0.85,0.38,0.62
1,1,22,27,0.81,0.38,0.62
1,1,22,28,0.79,0.38,0.62
1,1,22,29,0.76,0.39,0.61
1,1,22,30,0.73,0.39,0.61
1,1,22,31,0.71,0.39,0.61
1,1,22,32,0.69,0.39,0.61
1,1,22,33,0.67,0.39,0.61
1,1,22,34,0.65,0.39,0.61
1,1,23,15,1.53,0.23,0.77
1,1,23,16,1.44,0.26,0.74
1,1,23,17,1.35,0.28,0.72
1,1,23,18,1.28,0.29,0.71
1,1,23,19,1.21,0.31,0.69
1,1,23,20,1.15,0.32,0.68
1,1,23,21,1.1,0.33,0.67
1,1,23,22,1.05,0.34,0.66
1,1,23,23,1,0.35,0.65
1,1,23,24,0.96,0.36,0.64
1,1,23,25,0.92,0.37,0.63
1,1,23,26,0.88,0.37,0.63
1,1,23,27,0.85,0.37,0.63
1,1,23,28,0.82,0.38,0.62
1,1,23,29,0.79,0.38,0.62
1,1,23,30,0.77,0.39,0.61
1,1,23,31,0.74,0.39,0.61
1,1,23,32,0.72,0.39,0.61
1,1,23,33,0.7,0.39,0.61
1,1,23,34,0.68,0.39,0.61
1,1,24,15,1.6,0.22,0.78
1,1,24,16,1.5,0.24,0.76
1,1,24,17,1.41,0.26,0.74
1,1,24,18,1.33,0.28,0.72
1,1,24,19,1.26,0.3,0.7
1,1,24,20,1.2,0.31,0.69
1,1,24,21,1.14,0.32,0.68
1,1,24,22,1.09,0.34,0.66
1,1,24,23,1.04,0.34,0.66
1,1,24,24,1,0.35,0.65
1,1,24,25,0.96,0.36,0.64
1,1,24,26,0.92,0.36,0.64
1,1,24,27,0.89,0.37,0.63
1,1,24,28,0.86,0.37,0.63
1,1,24,29,0.83,0.38,0.62
1,1,24,30,0.8,0.38,0.62
1,1,24,31,0.77,0.38,0.62
1,1,24,32,0.75,0.39,0.61
1,1,24,33,0.73,0.39,0.61
1,1,24,34,0.71,0.39,0.61
1,1,25,15,1.67,0.2,0.8
1,1,25,16,1.56,0.23,0.77
1,1,25,17,1.47,0.25,0.75
1,1,25,18,1.39,0.27,0.73
1,1,25,19,1.32,0.29,0.71
1,1,25,20,1.25,0.3,0.7
1,1,25,21,1.19,0.31,0.69
1,1,25,22,1.14,0.33,0.67
1,1,25,23,1.09,0.34,0.66
1,1,25,24,1.04,0.34,0.66
1,1,25,25,1,0.35,0.65
1,1,25,26,0.96,0.36,0.64
1,1,25,27,0.93,0.36,0.64
1,1,25,28,0.89,0.37,0.63
1,1,25,29,0.86,0.37,0.63
1,1,25,30,0.83,0.38,0.62
1,1,25,31,0.81,0.38,0.62
1,1,25,32,0.78,0.38,0.62
1,1,25,33,0.76,0.39,0.61
1,1,25,34,0.74,0.39,0.61
1,1,26,15,1.73,0.19,0.81
1,1,26,16,1.63,0.21,0.79
1,1,26,17,1.53,0.23,0.77
1,1,26,18,1.44,0.26,0.74
1,1,26,19,1.37,0.27,0.73
